regParam,MSE Training,R2 Training,MSE Test,R2 Test
0,3.64E+08,0.941969173,1.53E+09,0.767699827
0.1,3.81E+08,0.939119148,1.27E+09,0.806674331
0.2,3.80E+08,0.939320775,1.27E+09,0.806499705
0.3,3.92E+08,0.937467488,1.22E+09,0.81438779
0.4,3.86E+08,0.938369225,1.26E+09,0.808713701
0.5,3.82E+08,0.928746733,1.28E+09,0.80633893
0.6,3.92E+08,0.937383614,1.23E+09,0.813872667
0.7,3.95E+08,0.936998352,1.22E+09,0.815059885
0.8,3.91E+08,0.937654914,1.22E+09,0.814167298
0.9,3.87E+08,0.938211052,1.24E+09,0.810971784
1,3.92E+08,0.93748042,1.23E+09,0.812739745
1.1,3.92E+08,0.937482798,1.23E+09,0.812824193
1.2,3.92E+08,0.937446454,1.23E+09,0.813430992
1.3,3.97E+08,0.936678323,1.21E+09,0.816590703
1.4,3.84E+08,0.93876666,1.25E+09,0.809542836
1.5,3.88E+08,0.938094806,1.27E+09,0.807662974
